"","rownb","Subject","Group","Condition","VideoTrial","VideoName","Target","Match","NbMatches","Checked_KS","Comment_KS","Comment_GMM"
"1502",1503,"46","L2","Path",16,"tgm_sactoi","Popi sube arriba del techo de la casa en el campo con un saco","sube:subir_V%arriba:arriba_AdvP",2,"","",""
"2981",2982,"NS_179","NS","Manner",10,"pgd_valcol","en el bosque Popi baja la pendiente junto con su maleta","baja:bajar_V",1,"","",""
"3263",3264,"NS_187","NS","Control",28,"trm_voidun","Popi sube una duna en una playa con un cochecito de juguete arrastrándolo","sube:subir_V%arrastrándolo:arrastrando_Ger",2,"","",""
"2640",2641,"NS_168","NS","Path",32,"pgt_panrue","Popi empujó una cesta con manzanas por un pueblo","empujó:empujar_V",1,"","",""
"580",581,"18","L2","Control",18,"pge_tabmai","Popi está empujando una mesa","está empujando:empujar_V",1,"","",""
"2241",2242,"NS_156","NS","Control",29,"pgm_paqdun","Popi empuja un gran regalo por una duna de la playa","empuja:empujar_V",1,"","",""
"3606",3607,"NS_198","NS","Control",8,"trd_brocol","Popi baja una colina con una carretilla","baja:bajar_V",1,"","",""
"2314",2315,"NS_159","NS","Path",3,"pgd_valnei","Popi arrastra una maleta por la nieve","arrastra:arrastrar_V",1,"","",""
"2363",2364,"NS_160","NS","Control",19,"tre_cadmai","Popi mete un carrito de la compra al granero","mete:meter_V",1,"","",""
"2814",2815,"NS_174","NS","Path",8,"tgt_cherou","Popi cruza el balancín por un río","cruza:cruzar_V",1,"","",""
"2695",2696,"NS_170","NS","Control",21,"tgd_malnei","Popi ha bajado un baúl de la nieve","ha bajado:bajar_V",1,"","",""
"3785",3786,"NS_204","NS","Manner",22,"pgm_paqdun","Popi sube un montículo con un regalo","sube:subir_V",1,"","",""
"1180",1181,"36","L2","Control",24,"trm_voidun","Popi ha subido una colina de arena con un coche un juguete","ha subido:subir_V",1,"","",""
"128",129,"4","L2","Control",28,"pgm_paqtoi","Popi ha traído el regalo sobre la casa","traído:traer_V",1,"","",""
"150",151,"5","L2","Manner",17,"tge_chagro","el chico lleva una silla verde de plástico hacia una cueva y también entra en la cueva","entra en:entrar_V%lleva:llevar_V%hacia una cueva:hacia/hasta-BOUNDARY_PP",3,"","",""
"779",780,"24","L2","Path",19,"pgm_paqtoi","Pepe sube un tejado con una paquete","sube:subir_V",1,"","",""
"180",181,"6","L2","Path",14,"prt_rourou","Popi cruza la calle con una rueda grande","cruza:cruzar_V",1,"","",""
"3649",3650,"NS_199","NS","Manner",18,"pgt_panrou","Popi cruza la calle empujando un cesto de manzanas","cruza:cruzar_V%empujando:empujando_Ger",2,"","",""
"3281",3282,"NS_188","NS","Control",13,"pre_pnemai","Popi ha rodado la rueda y la ha metido por las puerta en la granja","ha metido:meter_V%ha rodado:rodar_V",2,"","",""
"2189",2190,"NS_155","NS","Control",10,"tge_chagro","Popi mete la silla de plástico dentro de una cueva","mete:meter_V%dentro:(a)dentro_AdvP",2,"","",""
"3445",3446,"NS_193","NS","Control",12,"trm_voitoi","Popi sube un carro de juguete en su tejado ","sube:subir_V",1,"","",""
"1535",1536,"47","L2","Manner",16,"tre_cadmai","Popi entra una puerta con un bolso de compras","entra:entrar_V",1,"","",""
"3678",3679,"NS_200","NS","Manner",14,"trt_pourou","Popi tira de un carro por un camino","tira de:tirar-de_V",1,"","",""
"3036",3037,"NS_180","NS","Path",32,"pgd_valcol","Popi baja una cuesta con una maleta","baja:bajar_V",1,"","",""
"3531",3532,"NS_195","NS","Path",32,"pgt_panrue","Popi cruza la calle empujando el cesto con manzanas","cruza:cruzar_V%empujando:empujando_Ger",2,"","",""
"1609",1610,"49","L2","Manner",24,"trd_bronei","Popi ha llevado algo en la nieve","ha llevado:llevar_V",1,"","",""
"1700",1701,"52","L2","Manner",16,"pgm_paqtoi","el Popi se empuja un paquete a la casa","empuja:empujar_V",1,"","",""
"3544",3545,"NS_196","NS","Manner",12,"pgm_paqtoi","Popi sube un regalo por la cuesta de un tejado","sube:subir_V",1,"","",""
"1179",1180,"36","L2","Control",23,"pge_tabmai","Popi ha dejado una mesa de madera en una granja y entra en la puerta roja","ha dejado:dejar_V%entra en:entrar_V",2,"","",""
"1228",1229,"38","L2","Path",6,"trm_voidun","Popi está subiendo una duna con un coche de juguete","está subiendo:subir_V",1,"","",""
"1929",1930,"59","L2","Control",14,"tgd_malnei","Popi ha bajado por una colina cubierto [=cubierta] de nieve llevando un baúl","ha bajado:bajar_V%llevando:llevando_Ger",2,"","",""
"2155",2156,"NS_154","NS","Control",9,"trt_pourou","Popi cruza una carretera con un carrito de bebé","cruza:cruzar_V",1,"","",""
"3538",3539,"NS_196","NS","Manner",6,"prm_boutoi","Popi sube un flotador por un tejado","sube:subir_V",1,"","",""
"1951",1952,"60","L2","Manner",3,"pre_pnemai","Popi ha sacado una rueda y ha entrado con la rueda en el garaje","ha entrado:entrar_V",1,"","",""
"261",262,"8","L2","Manner",29,"trm_voitoi","Popi tira el coche de juguete arriba del techo","tira:tirar-de_V%arriba:arriba_AdvP",2,"","",""
"926",927,"29","L2","Path",1,"trt_pourue","Pepe ha cruzado el camino con un carro de un bebé","ha cruzado:cruzar_V",1,"","",""
"1078",1079,"33","L2","Control",21,"prt_rourue","Popi está en una calle con su rueda de madera","",0,"","",""
"931",932,"29","L2","Path",6,"tgm_sacdun","el hombre sube una montaña de arena con una bolsa","sube:subir_V",1,"","",""
"2910",2911,"NS_177","NS","Control",5,"pge_tabmai","Popi arrastra una mesa de madera hasta llegar a una casa y meterla por la puerta","arrastra:arrastrar_V%meterla:meter_Inf",2,"","",""
"1652",1653,"51","L2","Path",1,"prm_boudun","Popi ha montado una colina con una salvavidas","ha montado:montar_V",1,"","",""
"1656",1657,"51","L2","Path",5,"tre_cadmai","Popi entra en una casa con una carreta de compras ","entra en:entrar_V",1,"","",""
"3496",3497,"NS_194","NS","Manner",30,"pgd_valcol","Popi empujó una maleta por una colina","empujó:empujar_V",1,"","",""
"269",270,"9","L2","Path",4,"trm_voitoi","pues una persona sube un cochecito a través de un techo de una casa","sube:subir_V%a través:a-través-de_PP",2,"","",""
"2468",2469,"NS_163","NS","Path",25,"tgd_malcol","Popi arrastra un baúl por una montaña","arrastra:arrastrar_V",1,"","",""
"1529",1530,"47","L2","Manner",10,"tgt_cherue","Popi cruza una calle con un caballo de juguete","cruza:cruzar_V",1,"","",""
"3079",3080,"NS_182","NS","Manner",9,"pge_tabmai","Popi mete empujando una mesa en una casa","mete:meter_V%empujando:empujando_Ger",2,"","",""
"2362",2363,"NS_160","NS","Control",18,"prt_rourou","Popi mueve una rueda de un lado a otro del bosque","mueve:mover_V%de un lado a otro:de-un-lado-al-otro_PP",2,"","",""
"3002",3003,"NS_179","NS","Manner",31,"trd_bronei","Popi baja la carretilla por la pendiente de nieve","baja:bajar_V",1,"","",""
"1314",1315,"40","L2","Manner",26,"trt_pourue","Popi ha cruzado la calle con un carrito de bebé","ha cruzado:cruzar_V",1,"","",""
"2059",2060,"NS_151","NS","Control",12,"prm_boutoi","Popi sube un flotador","sube:subir_V",1,"","",""
"107",108,"4","L2","Control",7,"tgd_malnei","Popi ha traído una cosa desde derecha hasta izquierda","traído:traer_V",1,"","",""
"985",986,"30","L2","Path",27,"prd_balcol","Popi baja la loma con la bola inflable ","baja:bajar_V",1,"","",""
"803",804,"25","L2","Control",10,"trm_voitoi","Popi ha subido por el tejado arrastrando un coche de juguete","ha subido:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"3704",3705,"NS_201","NS","Control",7,"trm_voidun","Popi ha subido la duna de la playa con un coche de juguete remolcado","ha subido:subir_V",1,"","",""
"235",236,"8","L2","Manner",3,"pre_pnemai","Popi empuja una rueda dentro de una granja","empuja:empujar_V%dentro:(a)dentro_AdvP",2,"","",""
"1621",1622,"50","L2","Control",3,"prt_rourue","ha cruzado una calle con una rueda","ha cruzado:cruzar_V",1,"","",""
"689",690,"21","L2","Path",28,"trt_pourou","Popi está cruzando la calle con una carretera [=un carrito]","está cruzando:cruzar_V",1,"","",""
"1151",1152,"35","L2","Manner",28,"trt_pourou","Popi tira de un carrito de bebé y cruza un camino en el campo","cruza:cruzar_V%tira de:tirar-de_V",2,"","",""
"976",977,"30","L2","Path",18,"prd_balnei","Popi baja la colina nevada con una bola inflable","baja:bajar_V",1,"","",""
"254",255,"8","L2","Manner",22,"tgd_malnei","Popi tira una cosa abajo de una cuesta nevada","tira:tirar-de_V%abajo:abajo_AdvP",2,"","",""
"1974",1975,"60","L2","Manner",26,"pgt_panrou","Popi ha cruzado el camino con una cesta llena de manzanas","ha cruzado:cruzar_V",1,"","",""
"2330",2331,"NS_159","NS","Path",19,"tre_cadgro","Popi arrastra un carrito de la compra y se introduce en una xxx","arrastra:arrastrar_V%introduce:introducir_V",2,"","",""
"815",816,"25","L2","Control",22,"pgd_valcol","Popi ha empujado una maleta al bajar por una cuesta","ha empujado:empujar_V%al bajar:bajar_Inf",2,"","",""
"1982",1983,"NS_1","NS","Control",1,"trd_brocol","ha bajado la ladera de una colina con una carretilla a su espalda","ha bajado:bajar_V",1,"","",""
"3451",3452,"NS_193","NS","Control",18,"trd_bronei","Popi baja una carreta por la nieve","baja:bajar_V",1,"","",""
"638",639,"20","L2","Manner",10,"pgm_paqdun","Popi empujó un paquete encima de una duna de arena","empujó:empujar_V%encima:encima_PP",2,"","",""
"3264",3265,"NS_187","NS","Control",29,"prt_rourue","Popi empuja por la calle una rueda","empuja:empujar_V",1,"","",""
"868",869,"27","L2","Control",9,"pgt_panrou","Popi tiene una canasta grande llena de manzanas y cruza la calle con ella","cruza:cruzar_V",1,"","",""
"2256",2257,"NS_157","NS","Manner",11,"tre_cadmai","Popi llega de comprar y se mete a casa","mete:meter_V",1,"","",""
"3888",3889,"NS_207","NS","Path",26,"pgd_valcol","Popi lleva el maletín ladera abajo","lleva:llevar_V%abajo:abajo_AdvP",2,"","",""
"470",471,"15","L2","Manner",7,"trd_brocol","Popi arrastra una carretilla desde una colina","arrastra:arrastrar_V",1,"","",""
"698",699,"22","L2","Path",4,"tgm_sactoi","Popi está subiendo el techo muy despacio ","está subiendo:subir_V",1,"","",""
"1112",1113,"34","L2","Manner",22,"tgd_malcol","él tirando un baúl del cerro","tirando:tirando-de_Ger",1,"","",""
"57",58,"2","L2","Control",23,"trd_bronei","bajó de una colina de nieve con algo que se usa en el jardín","bajó:bajar_V",1,"","",""
"3498",3499,"NS_194","NS","Manner",32,"pgd_valcol","Popi empujó una maleta por una colina","empujó:empujar_V",1,"","",""
"3854",3855,"NS_206","NS","Manner",25,"prt_rourue","Popi rueda una rueda por un pueblo","rueda:rodar_V",1,"","",""
"2733",2734,"NS_171","NS","Path",26,"pgt_panrou","Popi cruza una calle empujando un cesto lleno de manzanas","cruza:cruzar_V%empujando:empujando_Ger",2,"","",""
"2057",2058,"NS_151","NS","Control",10,"pre_pnemai","Popi empuja o mueve una rueda","empuja:empujar_V%mueve:mover_V",2,"","",""
"475",476,"15","L2","Manner",12,"trt_pourue","Popi tira una carretilla de bebé y atreviesa una calle","tira:tirar-de_V",1,"","",""
"2357",2358,"NS_160","NS","Control",13,"prt_rourue","Popi lleva una rueda de un lado al otro de la calle","lleva:llevar_V%de un lado al otro:de-un-lado-al-otro_PP",2,"","",""
"1254",1255,"38","L2","Path",32,"pgm_paqtoi","el hombre está subiendo el techo con un paquete","está subiendo:subir_V",1,"","",""
"2881",2882,"NS_176","NS","Path",9,"tgt_cherou","Popi cruza una calle tirando de un caballito","cruza:cruzar_V%tirando de:tirando-de_Ger",2,"","",""
"1800",1801,"55","L2","Manner",17,"prm_boudun","Popi empuja un flotador por la duna","empuja:empujar_V",1,"","",""
"203",204,"7","L2","Control",4,"trd_bronei","Popi ha traído una cosa","traído:traer_V",1,"","",""
"3599",3600,"NS_198","NS","Control",1,"tre_cadmai","Popi entra en una casa con un carro de la compra","entra en:entrar_V",1,"","",""
"2198",2199,"NS_155","NS","Control",19,"trm_voidun","Popi sube un coche de juguete a una montaña de arena","sube:subir_V",1,"","",""
"3384",3385,"NS_191","NS","Manner",17,"prt_rourou","Popi empuja una rueda","empuja:empujar_V",1,"","",""
"2034",2035,"NS_150","NS","Manner",20,"trm_voitoi","Popi tira de un coche hacia arriba de un tejado ","tira de:tirar-de_V%hacia arriba:PREP-arriba_PP",2,"","",""
"1139",1140,"35","L2","Manner",16,"prm_boutoi","Popi sube un tejado empujando un flotador","sube:subir_V%empujando:empujando_Ger",2,"","",""
"1655",1656,"51","L2","Path",4,"pgm_paqdun","Popi ha subido otra colina con un paquete","ha subido:subir_V",1,"","",""
"3485",3486,"NS_194","NS","Manner",19,"pge_tabgro","Popi empuja la mesa de madera al interior de la cueva","empuja:empujar_V%al interior de la cueva:PREP-el-interior_PP",2,"","",""
"305",306,"10","L2","Manner",7,"pgt_panrue","Popi empuja el canasto de manzanas de un lado al otro lado de la calle","empuja:empujar_V%al otro lado de la calle:PREP-otro-lado_PP",2,"","",""
"1055",1056,"32","L2","Path",31,"prt_rourou","Popi cruza un río de hielo con una rueda de carretera","cruza:cruzar_V",1,"","",""
"1370",1371,"42","L2","Path",16,"prd_balnei","Popi baja una cuesta nevada con una pelota de playa","baja:bajar_V",1,"","",""
"2094",2095,"NS_152","NS","Control",14,"tgm_sactoi","Popi sube un tejado arrastrando un saco","sube:subir_V%arrastrando:arrastrando_Ger",2,"","",""
"2565",2566,"NS_166","NS","Path",23,"pgt_panrue","Popi cruza una calle arrastrando una cesta de castañas","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"3121",3122,"NS_183","NS","Manner",18,"trt_pourue","Popi cruza la calle arrastrando un carrito de niña","cruza:cruzar_V%arrastrando:arrastrando_Ger",2,"","",""
"3889",3890,"NS_207","NS","Path",27,"tgt_cherue","Popi cruza la calle con un caballito de juguete","cruza:cruzar_V",1,"","",""
"3204",3205,"NS_186","NS","Control",2,"prd_balcol","Popi baja la pelota por la colina","baja:bajar_V",1,"","",""
"3680",3681,"NS_200","NS","Manner",16,"tre_cadgro","Popi tira de un carro hasta una cueva","tira de:tirar-de_V%hasta una cueva:hacia/hasta-BOUNDARY_PP",2,"","",""
"3224",3225,"NS_186","NS","Control",22,"prm_boudun","Popi sube el flotador por la colina de arena","sube:subir_V",1,"","",""
"1665",1666,"51","L2","Path",14,"tgm_sactoi","Popi sube el techo con un bolso","sube:subir_V",1,"","",""
"2009",2010,"NS_1","NS","Control",28,"pge_tabmai","ha entrado en un establo empujando una mesa de madera","ha entrado en:entrar_V%empujando:empujando_Ger",2,"","",""
"1271",1272,"39","L2","Manner",16,"tgt_cherou","Popi está cruzando la calle con un caballito de juguete","está cruzando:cruzar_V",1,"","",""
"3494",3495,"NS_194","NS","Manner",28,"pre_pnemai","Popi rueda un neumático al interior de una casa","rueda:rodar_V%al interior de una casa:PREP-el-interior_PP",2,"","",""
"3339",3340,"NS_190","NS","Control",5,"tgt_cherue","Popi está arrastrando un caballito de madera por una calle","está arrastrando:arrastrar_V",1,"","",""
"797",798,"25","L2","Control",4,"pgt_panrue","Popi ha empujado un cesto lleno de manzanas","ha empujado:empujar_V",1,"","",""
"3596",3597,"NS_197","NS","Path",31,"trd_brocol","Popi ha bajado la ladera de un pequeño cerro arrastrando un carrito amarillo de mano","ha bajado:bajar_V%arrastrando:arrastrando_Ger",2,"","",""
"140",141,"5","L2","Manner",7,"trm_voitoi","el chico sube con su coche juguete encima de una casa","sube:subir_V%encima:encima_PP",2,"","",""
"3291",3292,"NS_188","NS","Control",23,"tre_cadmai","Popi se ha metido en la granja con un carrito de la compra","ha metido:meter_V",1,"","",""
"2789",2790,"NS_173","NS","Path",16,"trm_voitoi","Popi sube un coche de juguete por el tejado de una casa","sube:subir_V",1,"","",""
"243",244,"8","L2","Manner",11,"tge_chagro","Popi tira la silla dentro de la cueva","tira:tirar-de_V%dentro:(a)dentro_AdvP",2,"","",""
"510",511,"16","L2","Manner",14,"pgd_valcol","Popi está bajando por una colina con una maleta grande","está bajando:bajar_V",1,"","",""
"3755",3756,"NS_203","NS","Control",25,"pgm_paqtoi","Popi sube un regalo al tejado","sube:subir_V",1,"","",""
"2554",2555,"NS_166","NS","Path",12,"pgm_paqdun","Popi arrastra un regalo ladera arriba en una playa","arrastra:arrastrar_V%arriba:arriba_AdvP",2,"","",""
"2615",2616,"NS_168","NS","Path",7,"prm_boutoi","Popi lleva un flotador con dibujos de delfines sobre el techo de una casa","lleva:llevar_V",1,"","",""
"1113",1114,"34","L2","Manner",23,"tre_cadgro","él tirando un carrito al entro la cueva","tirando:tirando-de_Ger",1,"","",""
"3822",3823,"NS_205","NS","Path",26,"pre_pnegro","Popi entra en una cueva haciendo rodar una rueda","entra en:entrar_V%haciendo rodar:haciendo-rodar_Vphrase-Ger",2,"","",""
"3542",3543,"NS_196","NS","Manner",10,"pgt_panrou","Popi arrastra una cesta de frutas por un río","arrastra:arrastrar_V",1,"","",""
"3896",3897,"NS_208","NS","Manner",1,"trt_pourou","Popi arrastra un carro","arrastra:arrastrar_V",1,"","",""
"1168",1169,"36","L2","Control",12,"tge_chamai","Popi ha entrado con una silla en la casa","ha entrado:entrar_V",1,"","",""
"1162",1163,"36","L2","Control",6,"pgd_valcol","Popi ha bajado una maleta desde una colina en un bosque","ha bajado:bajar_V",1,"","",""
"1904",1905,"58","L2","Manner",22,"tgd_malcol","Popi arrastra un box@sw por una colina","arrastra:arrastrar_V",1,"","",""
"3691",3692,"NS_200","NS","Manner",27,"tgd_malcol","Popi tira de un baúl por una cuesta","tira de:tirar-de_V",1,"","",""
"2041",2042,"NS_150","NS","Manner",27,"pgm_paqdun","Popi empuja un regalo por la arena","empuja:empujar_V",1,"","",""
"733",734,"23","L2","Manner",6,"trt_pourue","Popi tira de un carrito de bebé por la calle","tira de:tirar-de_V",1,"","",""
"2545",2546,"NS_166","NS","Path",3,"tge_chagro","Popi arrastra una silla de plástico dentro de una cueva","arrastra:arrastrar_V%dentro:(a)dentro_AdvP",2,"","",""
"1646",1647,"50","L2","Control",28,"pge_tabmai","ha entrado a una granja empujando a una mesa","ha entrado a:entrar_V%empujando:empujando_Ger",2,"","",""
"963",964,"30","L2","Path",5,"pgd_valnei","Popi baja una maleta por una colina nevada","baja:bajar_V",1,"","",""
"3077",3078,"NS_182","NS","Manner",7,"trm_voidun","Popi tira de un cochecito por la playa","tira de:tirar-de_V",1,"","",""
"626",627,"19","L2","Control",31,"pge_tabgro","puso la mesa dentro de la cueva","puso:poner_V%dentro:(a)dentro_AdvP",2,"","",""
"304",305,"10","L2","Manner",6,"pre_pnemai","Popi empuja una rueda adentro de una casa","empuja:empujar_V%adentro:(a)dentro_AdvP",2,"","",""
"2825",2826,"NS_174","NS","Path",19,"trt_pourue","Popi sale la casa y cruza la calle con un carrito de bebé","cruza:cruzar_V",1,"","",""
"2976",2977,"NS_179","NS","Manner",5,"pgd_valnei","Popi baja la pendiente una maleta","baja:bajar_V",1,"","",""
"1338",1339,"41","L2","Path",17,"trd_brocol","Popi bajó la montañita con el carrito","bajó:bajar_V",1,"","",""
"660",661,"20","L2","Manner",32,"prm_boutoi","Popi rueda el juguete inflable hasta el pico del tejado","rueda:rodar_V",1,"","",""
"531",532,"17","L2","Path",2,"tgd_malcol","Popi va con una caja muy fuerte atrás su espalda","va:ir_V%con una caja muy fuerte atrás:detrás/atrás_AdvP",2,"","",""
"1353",1354,"41","L2","Path",32,"prd_balnei","Popi bajó la colina de nieve con la pelota","bajó:bajar_V",1,"","",""
"287",288,"9","L2","Path",22,"pge_tabmai","una persona entra en una casa antigua con una mesa","entra en:entrar_V",1,"","",""
"3483",3484,"NS_194","NS","Manner",17,"tre_cadgro","Popi tira de un carro de la compra al interior de una cueva","tira de:tirar-de_V%al interior de una cueva:PREP-el-interior_PP",2,"","",""
"2029",2030,"NS_150","NS","Manner",15,"tge_chamai","Popi lleva una silla entre una casa","lleva:llevar_V",1,"","",""
"1045",1046,"32","L2","Path",21,"pge_tabgro","Popi entra a una cueva con una mesa","entra a:entrar_V",1,"","",""
"2364",2365,"NS_160","NS","Control",20,"pgt_panrue","Popi mueve un cesto de manzanas de un lado al otro de la calle","mueve:mover_V%de un lado al otro:de-un-lado-al-otro_PP",2,"","",""
"1463",1464,"45","L2","Manner",10,"trd_bronei","el muchacho se lleva un algo","lleva:llevar_V",1,"","",""
"2307",2308,"NS_158","NS","Control",29,"trt_pourue","cruza la calle con un carrito de bebé","cruza:cruzar_V",1,"","",""
"139",140,"5","L2","Manner",6,"tgt_cherue","el chico lleva este juguete al otro lado de la calle","lleva:llevar_V%al otro lado de la calle:PREP-otro-lado_PP",2,"","",""
"2343",2344,"NS_159","NS","Path",32,"pge_tabmai","Popi empuja una mesa antigua y le introduce en una casa","empuja:empujar_V%introduce:introducir_V",2,"","",""
"3688",3689,"NS_200","NS","Manner",24,"tgt_cherou","Popi tira de un caballo de juguete por un camino","tira de:tirar-de_V",1,"","",""
"2176",2177,"NS_154","NS","Control",30,"pre_pnegro","Popi está empujando un neumático para introducirlo en el interior de una cueva","está empujando:empujar_V%para introducirlo:introducir_Inf",2,"","",""
"967",968,"30","L2","Path",9,"tge_chagro","Popi entra la cueva arrastrando una silla","entra:entrar_V%arrastrando:arrastrando_Ger",2,"","",""
"1911",1912,"58","L2","Manner",29,"tge_chamai","Popi arrastra una silla por el patio","arrastra:arrastrar_V",1,"","",""
"2561",2562,"NS_166","NS","Path",19,"tgd_malnei","Popi arrastra un baúl hacia abajo de una ladera nevada","arrastra:arrastrar_V%hacia abajo:PREP-abajo_PP",2,"","",""
"2392",2393,"NS_161","NS","Path",15,"prt_rourou","Popi cruza la calle con una rueda","cruza:cruzar_V",1,"","",""
"487",488,"15","L2","Manner",24,"prm_boutoi","Popi rueda un salvavidas hacia la cumbre de una casa","rueda:rodar_V%hacia la cumbre:PREP-la-cumbre_PP",2,"","",""
