"Subject","Group","Condition","VideoTrial","VideoName","PathPrime","MannerPrime","PathPrimeV","MannerPrimeV","Target_Ground","Target_Object","Target"
"1","L2","Manner",14,"prm_boutoi","El leñador sube una loma con un tronco.","El leñador rueda un tronco por una loma.","sube","rueda","roof","swimming_ring","Popi ha arrastrado un juguete por el techo"
"1","L2","Manner",15,"pgt_panrou","El niño cruza una habitación con una papelera.","El niño empuja una papelera por una habitación.","cruza","empuja","road","basket","Popi ha empujado una cesta con manzanas"
"1","L2","Manner",16,"trm_voidun","La pasajera sube una pasarela con un bolso con ruedas.","La pasajera tira de un bolso con ruedas por una pasarela.","sube","tira de","dune","toy_car","Popi ha arrastrado un coche de juguete por una colina"
"1","L2","Manner",17,"tge_chagro","La mujer entra en un vestíbulo con una cómoda.","La mujer arrastra una cómoda por un vestíbulo.","entra en","arrastra","cave","chair","Popi ha arrastrado una silla a la cueva"
"1","L2","Manner",18,"prt_rourue","El borracho cruza una avenida con una botella.","El borracho rueda una botella por una avenida.","cruza","rueda","street","cartwheel","Popi ha rodado una rueda por la villa"
"1","L2","Manner",19,"tre_cadmai","El nene entra en una escuela con un triciclo.","El nene tira de un triciclo por una escuela.","entra en","tira de","house","shopping_trolley","Popi ha tirado de un carrito de compras"
"1","L2","Manner",20,"prm_boudun","El escarabajo sube un montículo con una pelota.","El escarabajo rueda una pelota por un montículo.","sube","rueda","dune","swimming_ring","Popi ha rodado un juguete inflatible por una colina"
"1","L2","Manner",21,"pgt_panrue","El bombero cruza un pasillo con un piano.","El bombero empuja un piano por un pasillo.","cruza","empuja","street","basket","Popi ha empujado una sesta con manzanas"
"1","L2","Manner",22,"pre_pnegro","La joven entra en un gimnasio con un aro.","La joven rueda un aro por un gimnasio.","entra en","rueda","cave","tire","Popi ha rodado una rueda a la cueva"
"1","L2","Manner",23,"tgm_sactoi","El explorador sube un desnivel con un trineo.","El explorador arrastra un trineo por un desnivel.","sube","arrastra","roof","sack","Popi ha tirado un saco en el techo"
"1","L2","Manner",24,"pgd_valnei","El chico baja una pendiente con una piedra.","El chico empuja una piedra por una pendiente.","baja","empuja","snowyhill","suitcase","Popi ha empujado una maleta en una colina nevada"
"1","L2","Manner",25,"trm_voitoi","La labradora sube un collado con un carro.","La labradora tira de un carro por un collado.","sube","tira de","roof","toy_car","Popi ha tirado de un coche de jugar en el techo"
"1","L2","Manner",26,"pre_pnemai","La chiquilla entra en un aula con un hula hoop.","La chiquilla rueda un hula hoop por un aula.","entra en","rueda","house","tire","Popi ha rodado la rueda"
"1","L2","Manner",27,"tgt_cherue","El campesino cruza una parcela con un palo.","El campesino arrastra un palo por una parcela.","cruza","arrastra","street","rocking_horse","Popi ha tirado de un caballo de juguete"
"1","L2","Manner",28,"pge_tabmai","El informático entra en un cuarto con un ordenador.","El informático empuja un ordenador por un cuarto.","entra en","empuja","house","table","Popi ha empujado la mesa"
"1","L2","Manner",29,"tgd_malnei","El obrero baja unas gradas con un tablón.","El obrero arrastra un tablón por unas gradas.","baja","arrastra","snowyhill","trunk","Popi ha tirado de un baúl"
"1","L2","Manner",30,"tre_cadgro","El chiquillo entra en un jardín con un patinete.","El chiquillo tira de un patinete por un jardín.","entra en","tira de","cave","shopping_trolley","Popi ha tirado del carrito de compras a la cueva"
"1","L2","Manner",31,"prt_rourou","El mozo cruza una plaza con una esfera.","El mozo rueda una esfera por una plaza.","cruza","rueda","road","cartwheel","Popi ha rodado la rueda por el camino"
"1","L2","Manner",32,"tge_chamai","El vendedor entra en un local con una lámpara.","El vendedor arrastra una lámpara por un local.","entra en","arrastra","house","chair","Popi ha arrastrado una silla"
"2","L2","Control",1,"prd_balcol","La niña baja una cuesta con un plato.","La niña rueda un plato por una cuesta.","baja","rueda","hill","balloon","bajó con un pelota"
"2","L2","Control",2,"trm_voidun","La pasajera sube una pasarela con un bolso con ruedas.","La pasajera tira de un bolso con ruedas por una pasarela.","sube","tira de","dune","toy_car","Popi está en la playa con <una coche pequeña> [=un coche pequeño]"
"2","L2","Control",3,"prd_balnei","El camarero baja unos peldaños con un barril.","El camarero rueda un barril por unos peldaños.","baja","rueda","snowyhill","balloon","bajó de donde había nieve"
"2","L2","Control",4,"tge_chamai","El vendedor entra en un local con una lámpara.","El vendedor arrastra una lámpara por un local.","entra en","arrastra","house","chair","Popi caminó con una silla verde y entró de [=en] una casa con puerta rojo [=roja]"
"2","L2","Control",5,"trt_pourou","El labrador cruza un puente con una carreta.","El labrador tira de una carreta por un puente.","cruza","tira de","road","stroller","Popi cruzó una calle con un coche de bebé"
"2","L2","Control",6,"tgd_malcol","El conserje baja una escalinata con un colchón.","El conserje arrastra un colchón por una escalinata.","baja","arrastra","hill","trunk","Popi bajó con un baúl desde topp@sw [?]"
"2","L2","Control",7,"pgt_panrue","El bombero cruza un pasillo con un piano.","El bombero empuja un piano por un pasillo.","cruza","empuja","street","basket","de nuevo Popi cruzó una calle con algo llena de manzanas"
"2","L2","Control",8,"prm_boudun","El escarabajo sube un montículo con una pelota.","El escarabajo rueda una pelota por un montículo.","sube","rueda","dune","swimming_ring","cruzó la playa con un flotador naranja"
"2","L2","Control",9,"trd_brocol","La muchacha baja una costana con una bicicleta.","La muchacha tira de una bicicleta por una costana.","baja","tira de","hill","wheelbarrow","de nuevo bajó la montaña con una carretilla amarilla"
"2","L2","Control",10,"prm_boutoi","El leñador sube una loma con un tronco.","El leñador rueda un tronco por una loma.","sube","rueda","roof","swimming_ring","Popi subó [=subió] desde abajo al topp@sw con un flotador naranja"
"2","L2","Control",11,"pgd_valcol","El hombre baja una rampa con un sofá.","El hombre empuja un sofá por una rampa.","baja","empuja","hill","suitcase","Popi bajó la montaña pequeña con una maleta azul"
"2","L2","Control",12,"prt_rourou","El mozo cruza una plaza con una esfera.","El mozo rueda una esfera por una plaza.","cruza","rueda","road","cartwheel","Popi cruzó la calle desde la izquierda hasta la derecha con un rueda azul"
"2","L2","Control",13,"pgm_paqtoi","La moza sube un repecho con un sillón.","La moza empuja un sillón por un repecho.","sube","empuja","roof","package","Popi subó [=subió] el tejado con un paquete lila y amarillo"
"2","L2","Control",14,"tgt_cherou","La anciana cruza una sala con una alfombra.","La anciana arrastra una alfombra por una sala.","cruza","arrastra","road","rocking_horse","Popi cruzó la calle desde derecha a la izquierda con un caballo de juguete"
"2","L2","Control",16,"tgm_sactoi","El explorador sube un desnivel con un trineo.","El explorador arrastra un trineo por un desnivel.","sube","arrastra","roof","sack","Popi subó [=subió] el tejado con un saco blanco y grande"
"2","L2","Control",17,"pge_tabgro","El empleado entra en un almacén con un armario.","El empleado empuja un armario por un almacén.","entra en","empuja","cave","table","Popi caminó con una mesa y entró una cueva"
"2","L2","Control",18,"tgm_sacdun","La hormiga sube una roca con una hoja.","La hormiga arrastra una hoja por una roca.","sube","arrastra","dune","sack","Popi cruzó la playa con este saco"
"2","L2","Control",19,"tre_cadgro","El chiquillo entra en un jardín con un patinete.","El chiquillo tira de un patinete por un jardín.","entra en","tira de","cave","shopping_trolley","Popi caminó con este maleta de compras y Popi entró una cueva"
"2","L2","Control",20,"pgm_paqdun","El señor sube unos escalones con una televisión.","El señor empuja una televisión por unos escalones.","sube","empuja","dune","package","Popi de nuevo cruzó la playa con este paquete lila y amarillo"
"2","L2","Control",21,"tre_cadmai","El nene entra en una escuela con un triciclo.","El nene tira de un triciclo por una escuela.","entra en","tira de","house","shopping_trolley","caminó desde derecha a la izquierda con un carrito de compras que era verde y entró una puerta rojo a la izquierda"
"2","L2","Control",22,"pgt_panrou","El niño cruza una habitación con una papelera.","El niño empuja una papelera por una habitación.","cruza","empuja","road","basket","Popi cruzó la calle con una canasta llena de manzanas"
"2","L2","Control",23,"trd_bronei","El muchacho baja un cerro con una moto.","El muchacho tira de una moto por un cerro.","baja","tira de","snowyhill","wheelbarrow","bajó de una colina de nieve con algo que se usa en el jardín"
"2","L2","Control",24,"pge_tabmai","El informático entra en un cuarto con un ordenador.","El informático empuja un ordenador por un cuarto.","entra en","empuja","house","table","Popi entró una puerta rojo [=roja] con una maleta"
"2","L2","Control",25,"tgd_malnei","El obrero baja unas gradas con un tablón.","El obrero arrastra un tablón por unas gradas.","baja","arrastra","snowyhill","trunk","bajó una colina de nieve con un baúl"
"2","L2","Control",26,"trt_pourue","El joven cruza una vía con un monopatín.","El joven tira de un monopatín por una vía.","cruza","tira de","street","stroller","Popi cruzó la calle con un coche de bebé azul"
"2","L2","Control",27,"tge_chagro","La mujer entra en un vestíbulo con una cómoda.","La mujer arrastra una cómoda por un vestíbulo.","entra en","arrastra","cave","chair","Popi caminó con una silla verde y entró una cueva"
"2","L2","Control",28,"trm_voitoi","La labradora sube un collado con un carro.","La labradora tira de un carro por un collado.","sube","tira de","roof","toy_car","Popi subó [=subió] el tejado con un coche azul"
"2","L2","Control",29,"pre_pnemai","La chiquilla entra en un aula con un hula hoop.","La chiquilla rueda un hula hoop por un aula.","entra en","rueda","house","tire","caminó con una rueda y entró una puerta rojo [=roja] con esto"
"2","L2","Control",30,"tgt_cherue","El campesino cruza una parcela con un palo.","El campesino arrastra un palo por una parcela.","cruza","arrastra","street","rocking_horse","cruzó la calle con un caballo de juguete que está verde y rojo"
"2","L2","Control",31,"pre_pnegro","La joven entra en un gimnasio con un aro.","La joven rueda un aro por un gimnasio.","entra en","rueda","cave","tire","entró una cueva con rueda"
"2","L2","Control",32,"pgd_valcol","El hombre baja una rampa con un sofá.","El hombre empuja un sofá por una rampa.","baja","empuja","hill","suitcase","Popi bajó con una maleta azul"
"3","L2","Path",1,"prt_rourou","El mozo cruza una plaza con una esfera.","El mozo rueda una esfera por una plaza.","cruza","rueda","road","cartwheel","está moviendo una rueda del [=al] otro lado de la calle"
"3","L2","Path",2,"trm_voidun","La pasajera sube una pasarela con un bolso con ruedas.","La pasajera tira de un bolso con ruedas por una pasarela.","sube","tira de","dune","toy_car","está subiendo con un carro"
"3","L2","Path",3,"tgt_cherou","La anciana cruza una sala con una alfombra.","La anciana arrastra una alfombra por una sala.","cruza","arrastra","road","rocking_horse","está cruzando la calle con un caballo de juguete"
"3","L2","Path",4,"pgd_valnei","El chico baja una pendiente con una piedra.","El chico empuja una piedra por una pendiente.","baja","empuja","snowyhill","suitcase","está bajando con una maleta"
"3","L2","Path",5,"tge_chagro","La mujer entra en un vestíbulo con una cómoda.","La mujer arrastra una cómoda por un vestíbulo.","entra en","arrastra","cave","chair","está entrando en una cueva una piedra abierta allí una roca abierta con una silla."
"3","L2","Path",6,"prt_rourue","El borracho cruza una avenida con una botella.","El borracho rueda una botella por una avenida.","cruza","rueda","street","cartwheel","está cruzando la calle con una rueda"
"3","L2","Path",7,"pge_tabmai","El informático entra en un cuarto con un ordenador.","El informático empuja un ordenador por un cuarto.","entra en","empuja","house","table","está entrando en una casa con se me olvido una mesa"
"3","L2","Path",8,"trt_pourou","El labrador cruza un puente con una carreta.","El labrador tira de una carreta por un puente.","cruza","tira de","road","stroller","está cruzando la calle con un coche de niños"
"3","L2","Path",9,"pgm_paqtoi","La moza sube un repecho con un sillón.","La moza empuja un sillón por un repecho.","sube","empuja","roof","package","está subiendo un paquete al techo"
"3","L2","Path",10,"trd_bronei","El muchacho baja un cerro con una moto.","El muchacho tira de una moto por un cerro.","baja","tira de","snowyhill","wheelbarrow","está bajando con un no sé cómo se llama carrito."
"3","L2","Path",11,"prm_boudun","El escarabajo sube un montículo con una pelota.","El escarabajo rueda una pelota por un montículo.","sube","rueda","dune","swimming_ring","está subiendo con un juguete"
"3","L2","Path",12,"pgt_panrou","El niño cruza una habitación con una papelera.","El niño empuja una papelera por una habitación.","cruza","empuja","road","basket","está cruzando la calle con una cantidad de manzanas"
"3","L2","Path",13,"pre_pnegro","La joven entra en un gimnasio con un aro.","La joven rueda un aro por un gimnasio.","entra en","rueda","cave","tire","está entrando en la cueva con una rueda de carro"
"3","L2","Path",14,"trm_voitoi","La labradora sube un collado con un carro.","La labradora tira de un carro por un collado.","sube","tira de","roof","toy_car","está subiendo el techo con un carro"
"3","L2","Path",15,"tgd_malcol","El conserje baja una escalinata con un colchón.","El conserje arrastra un colchón por una escalinata.","baja","arrastra","hill","trunk","está bajando con un cajón"
"3","L2","Path",16,"pre_pnemai","La chiquilla entra en un aula con un hula hoop.","La chiquilla rueda un hula hoop por un aula.","entra en","rueda","house","tire","está entrando en la casa con una rueda de carro"
"3","L2","Path",17,"pgd_valcol","El hombre baja una rampa con un sofá.","El hombre empuja un sofá por una rampa.","baja","empuja","hill","suitcase","está bajando con una maleta"
"3","L2","Path",18,"tgt_cherue","El campesino cruza una parcela con un palo.","El campesino arrastra un palo por una parcela.","cruza","arrastra","street","rocking_horse","cruza la calle con un caballo de juguete"
"3","L2","Path",19,"prd_balcol","La niña baja una cuesta con un plato.","La niña rueda un plato por una cuesta.","baja","rueda","hill","balloon","baja con una pelota"
"3","L2","Path",20,"pge_tabgro","El empleado entra en un almacén con un armario.","El empleado empuja un armario por un almacén.","entra en","empuja","cave","table","entra en la roca con una mesa"
"3","L2","Path",21,"prd_balnei","El camarero baja unos peldaños con un barril.","El camarero rueda un barril por unos peldaños.","baja","rueda","snowyhill","balloon","está bajando con una pelota"
"3","L2","Path",22,"tge_chamai","El vendedor entra en un local con una lámpara.","El vendedor arrastra una lámpara por un local.","entra en","arrastra","house","chair","entra en la casa con la silla verde"
"3","L2","Path",23,"prm_boutoi","El leñador sube una loma con un tronco.","El leñador rueda un tronco por una loma.","sube","rueda","roof","swimming_ring","sube el techo con un juguete"
"3","L2","Path",24,"trt_pourue","El joven cruza una vía con un monopatín.","El joven tira de un monopatín por una vía.","cruza","tira de","street","stroller","cruza la calle con un carro de un coche de niños"
"3","L2","Path",25,"tgm_sacdun","La hormiga sube una roca con una hoja.","La hormiga arrastra una hoja por una roca.","sube","arrastra","dune","sack","sube con un bolso"
"3","L2","Path",26,"tre_cadmai","El nene entra en una escuela con un triciclo.","El nene tira de un triciclo por una escuela.","entra en","tira de","house","shopping_trolley","entra en la casa con un carro de compras"
"3","L2","Path",27,"pgt_panrue","El bombero cruza un pasillo con un piano.","El bombero empuja un piano por un pasillo.","cruza","empuja","street","basket","cruza la calle con las manzanas"
"3","L2","Path",28,"tgm_sactoi","El explorador sube un desnivel con un trineo.","El explorador arrastra un trineo por un desnivel.","sube","arrastra","roof","sack","sube el techo con un [?] bolso"
"3","L2","Path",29,"tre_cadgro","El chiquillo entra en un jardín con un patinete.","El chiquillo tira de un patinete por un jardín.","entra en","tira de","cave","shopping_trolley","entra en la roca con carro de compras"
"3","L2","Path",30,"pgm_paqdun","El señor sube unos escalones con una televisión.","El señor empuja una televisión por unos escalones.","sube","empuja","dune","package","está subiendo un paquete"
"3","L2","Path",31,"tgd_malnei","El obrero baja unas gradas con un tablón.","El obrero arrastra un tablón por unas gradas.","baja","arrastra","snowyhill","trunk","baja una caja"
"3","L2","Path",32,"pge_tabgro","El empleado entra en un almacén con un armario.","El empleado empuja un armario por un almacén.","entra en","empuja","cave","table","entra una mesa en la piedra abierta"
"4","L2","Control",1,"prd_balcol","La niña baja una cuesta con un plato.","La niña rueda un plato por una cuesta.","baja","rueda","hill","balloon","Popi <ha movado> [=ha movido] la pelota inflable desde derecha hasta la izquierda"
"4","L2","Control",2,"tgm_sactoi","El explorador sube un desnivel con un trineo.","El explorador arrastra un trineo por un desnivel.","sube","arrastra","roof","sack","Popi ha traído la saca de algo para arriba de la casa"
"4","L2","Control",3,"pgt_panrue","El bombero cruza un pasillo con un piano.","El bombero empuja un piano por un pasillo.","cruza","empuja","street","basket","Popi <ha movado> [=ha movido] el cesto de las manzanas desde derecha hasta izquierda en la pantalla"
"4","L2","Control",4,"tgd_malcol","El conserje baja una escalinata con un colchón.","El conserje arrastra un colchón por una escalinata.","baja","arrastra","hill","trunk","Popi ha bajado la caja de arriba del camino hasta abajo"
"4","L2","Control",5,"trm_voitoi","La labradora sube un collado con un carro.","La labradora tira de un carro por un collado.","sube","tira de","roof","toy_car","Popi ha traído el coche para el tejado de la casa"
"4","L2","Control",6,"pge_tabmai","El informático entra en un cuarto con un ordenador.","El informático empuja un ordenador por un cuarto.","entra en","empuja","house","table","Popi ha traído la mesa dentro la casa"
"4","L2","Control",7,"tgd_malnei","El obrero baja unas gradas con un tablón.","El obrero arrastra un tablón por unas gradas.","baja","arrastra","snowyhill","trunk","Popi ha traído una cosa desde derecha hasta izquierda"
"4","L2","Control",8,"prm_boutoi","El leñador sube una loma con un tronco.","El leñador rueda un tronco por una loma.","sube","rueda","roof","swimming_ring","Popi <ha movado> [=ha movido] el círculo hasta arriba de la casa"
"4","L2","Control",9,"tge_chamai","El vendedor entra en un local con una lámpara.","El vendedor arrastra una lámpara por un local.","entra en","arrastra","house","chair","Popi ha traído la silla dentro de la casa"
"4","L2","Control",10,"prd_balnei","El camarero baja unos peldaños con un barril.","El camarero rueda un barril por unos peldaños.","baja","rueda","snowyhill","balloon","Popi <ha movado> [=ha movido] la pelota desde izquierda hasta derecha"
"4","L2","Control",11,"pgm_paqdun","El señor sube unos escalones con una televisión.","El señor empuja una televisión por unos escalones.","sube","empuja","dune","package","Popi <ha movado> [=ha movido] el paquete de regalo para el parte más arriba de la arena"
"4","L2","Control",12,"tgt_cherou","La anciana cruza una sala con una alfombra.","La anciana arrastra una alfombra por una sala.","cruza","arrastra","road","rocking_horse","Popi ha traído el caballo de juguete sobre el camino para el otro lado"
"4","L2","Control",13,"pre_pnemai","La chiquilla entra en un aula con un hula hoop.","La chiquilla rueda un hula hoop por un aula.","entra en","rueda","house","tire","Popi ha traído la rueda dentro la casa"
"4","L2","Control",14,"tgm_sacdun","La hormiga sube una roca con una hoja.","La hormiga arrastra una hoja por una roca.","sube","arrastra","dune","sack","Popi ha traído el saco sobre la arena"
"4","L2","Control",15,"pgd_valcol","El hombre baja una rampa con un sofá.","El hombre empuja un sofá por una rampa.","baja","empuja","hill","suitcase","Popi <ha movado> [=ha movido] la bolsa"
"4","L2","Control",16,"trt_pourue","El joven cruza una vía con un monopatín.","El joven tira de un monopatín por una vía.","cruza","tira de","street","stroller","Popi <ha movado> [=ha movido] la cajón del bebé desde izquierda hasta derecha"
"4","L2","Control",17,"pre_pnegro","La joven entra en un gimnasio con un aro.","La joven rueda un aro por un gimnasio.","entra en","rueda","cave","tire","Popi <ha movado> [=ha movido] la rueda dentro de la cuevo"
"4","L2","Control",18,"trd_bronei","El muchacho baja un cerro con una moto.","El muchacho tira de una moto por un cerro.","baja","tira de","snowyhill","wheelbarrow","el Popi <ha movado> [=ha movido] una cosa bajo [abajo] del hielo"
"4","L2","Control",19,"pgt_panrou","El niño cruza una habitación con una papelera.","El niño empuja una papelera por una habitación.","cruza","empuja","road","basket","Popi <ha movado> [=ha movido] el cesto de las manzanas sobre el camino"
"4","L2","Control",20,"prm_boudun","El escarabajo sube un montículo con una pelota.","El escarabajo rueda una pelota por un montículo.","sube","rueda","dune","swimming_ring","Popi <ha movado> [=ha movido] el círculo inflable sobre la arena"
"4","L2","Control",21,"pge_tabgro","El empleado entra en un almacén con un armario.","El empleado empuja un armario por un almacén.","entra en","empuja","cave","table","Popi ha traído una mesa dentro del cuevo"
"4","L2","Control",22,"trm_voidun","La pasajera sube una pasarela con un bolso con ruedas.","La pasajera tira de un bolso con ruedas por una pasarela.","sube","tira de","dune","toy_car","Popi ha traído un coche de juguete sobre la arena"
"4","L2","Control",23,"tgt_cherue","El campesino cruza una parcela con un palo.","El campesino arrastra un palo por una parcela.","cruza","arrastra","street","rocking_horse","Popi ha traído el caballo de juguete sobre el camino"
"4","L2","Control",24,"tre_cadmai","El nene entra en una escuela con un triciclo.","El nene tira de un triciclo por una escuela.","entra en","tira de","house","shopping_trolley","Popi ha traído la caja de compras dentro la casa"
"4","L2","Control",25,"prt_rourou","El mozo cruza una plaza con una esfera.","El mozo rueda una esfera por una plaza.","cruza","rueda","road","cartwheel","Popi ha traído la rueda sobre el camino"
"4","L2","Control",26,"pgd_valnei","El chico baja una pendiente con una piedra.","El chico empuja una piedra por una pendiente.","baja","empuja","snowyhill","suitcase","Popi ha bajado la maleta bajo [abajo] de la nieve"
"4","L2","Control",27,"tre_cadgro","El chiquillo entra en un jardín con un patinete.","El chiquillo tira de un patinete por un jardín.","entra en","tira de","cave","shopping_trolley","Popi ha traído la maleta de compras dentro del cuevo"
"4","L2","Control",28,"pgm_paqtoi","La moza sube un repecho con un sillón.","La moza empuja un sillón por un repecho.","sube","empuja","roof","package","Popi ha traído el regalo sobre la casa"
"4","L2","Control",29,"trt_pourou","El labrador cruza un puente con una carreta.","El labrador tira de una carreta por un puente.","cruza","tira de","road","stroller","Popi ha traído el cajón de bebé sobre el camino"
"4","L2","Control",30,"tge_chagro","La mujer entra en un vestíbulo con una cómoda.","La mujer arrastra una cómoda por un vestíbulo.","entra en","arrastra","cave","chair","Popi ha traído una mesa dentro del cuevo"
"4","L2","Control",31,"trd_brocol","La muchacha baja una costana con una bicicleta.","La muchacha tira de una bicicleta por una costana.","baja","tira de","hill","wheelbarrow","Popi ha bajado una cosa de la césped"
"4","L2","Control",32,"pge_tabgro","El empleado entra en un almacén con un armario.","El empleado empuja un armario por un almacén.","entra en","empuja","cave","table","Popi ha traído una mesa dentro del cuevo"
"5","L2","Manner",1,"trm_voidun","La pasajera sube una pasarela con un bolso con ruedas.","La pasajera tira de un bolso con ruedas por una pasarela.","sube","tira de","dune","toy_car","está llevando su coche que es un juguete"
"5","L2","Manner",2,"pgd_valnei","El chico baja una pendiente con una piedra.","El chico empuja una piedra por una pendiente.","baja","empuja","snowyhill","suitcase","el hombre empuja una maleta bajo [abajo] una colina"
"5","L2","Manner",3,"trt_pourue","El joven cruza una vía con un monopatín.","El joven tira de un monopatín por una vía.","cruza","tira de","street","stroller","el hombre lleva esta cosa que es una herramienta para poner los bebés"
"5","L2","Manner",4,"tgd_malnei","El obrero baja unas gradas con un tablón.","El obrero arrastra un tablón por unas gradas.","baja","arrastra","snowyhill","trunk","el hombre lleva esta cosa bajo [abajo] una colina"
"5","L2","Manner",5,"tre_cadmai","El nene entra en una escuela con un triciclo.","El nene tira de un triciclo por una escuela.","entra en","tira de","house","shopping_trolley","el hombre lleva esta herramienta para dentro de una casa"
"5","L2","Manner",6,"tgt_cherue","El campesino cruza una parcela con un palo.","El campesino arrastra un palo por una parcela.","cruza","arrastra","street","rocking_horse","el chico lleva este juguete al otro lado de la calle"
"5","L2","Manner",7,"trm_voitoi","La labradora sube un collado con un carro.","La labradora tira de un carro por un collado.","sube","tira de","roof","toy_car","el chico sube con su coche juguete encima de una casa"
"5","L2","Manner",8,"tgt_cherou","La anciana cruza una sala con una alfombra.","La anciana arrastra una alfombra por una sala.","cruza","arrastra","road","rocking_horse","el chico lleva su juguete que es como un caballo al otro lado del camino"
"5","L2","Manner",9,"prd_balcol","La niña baja una cuesta con un plato.","La niña rueda un plato por una cuesta.","baja","rueda","hill","balloon","el chico empuja su pelota de plástico bajo [abajo] una colina"
"5","L2","Manner",10,"tre_cadgro","El chiquillo entra en un jardín con un patinete.","El chiquillo tira de un patinete por un jardín.","entra en","tira de","cave","shopping_trolley","el chico va con su maleta con ruedas hacia una cueva también entra en la cueva"
"5","L2","Manner",11,"prm_boutoi","El leñador sube una loma con un tronco.","El leñador rueda un tronco por una loma.","sube","rueda","roof","swimming_ring","el chico sube la casa con una rueda de plástico que se usa para bañar en la playa"
"5","L2","Manner",12,"pgt_panrue","El bombero cruza un pasillo con un piano.","El bombero empuja un piano por un pasillo.","cruza","empuja","street","basket","empuja esta cosa [llena de manzanas] al otro lado del camino"
"5","L2","Manner",13,"pre_pnemai","La chiquilla entra en un aula con un hula hoop.","La chiquilla rueda un hula hoop por un aula.","entra en","rueda","house","tire","el chico empuja una rueda dentro de una granja"
"5","L2","Manner",14,"pgt_panrou","El niño cruza una habitación con una papelera.","El niño empuja una papelera por una habitación.","cruza","empuja","road","basket","el chico empuja la cosa llena de manzanas al otro lado del camino"
"5","L2","Manner",15,"tgm_sactoi","El explorador sube un desnivel con un trineo.","El explorador arrastra un trineo por un desnivel.","sube","arrastra","roof","sack","el chico lleva una bolsa y sube una casa"
"5","L2","Manner",16,"pgd_valcol","El hombre baja una rampa con un sofá.","El hombre empuja un sofá por una rampa.","baja","empuja","hill","suitcase","el hombre baja una colina con una maleta"
"5","L2","Manner",17,"tge_chagro","La mujer entra en un vestíbulo con una cómoda.","La mujer arrastra una cómoda por un vestíbulo.","entra en","arrastra","cave","chair","el chico lleva una silla verde de plástico hacia una cueva y también entra en la cueva"
"5","L2","Manner",18,"prt_rourou","El mozo cruza una plaza con una esfera.","El mozo rueda una esfera por una plaza.","cruza","rueda","road","cartwheel","el chico empuja la rueda vieja al otro lado del camino"
"5","L2","Manner",19,"tge_chamai","El vendedor entra en un local con una lámpara.","El vendedor arrastra una lámpara por un local.","entra en","arrastra","house","chair","el chico lleva la silla verde de plástico a una casa o una granja y entra"
"5","L2","Manner",20,"prm_boudun","El escarabajo sube un montículo con una pelota.","El escarabajo rueda una pelota por un montículo.","sube","rueda","dune","swimming_ring","el chico empuja el juguete de plástico encima de una colina"
"5","L2","Manner",21,"trt_pourou","El labrador cruza un puente con una carreta.","El labrador tira de una carreta por un puente.","cruza","tira de","road","stroller","el chico lleva el carro de bebés al otro lado del camino"
