"Subject","Group","Condition","VideoTrial","VideoName","Target","Path","Manner","P_anyw","P_V","P_adj","M_anyw","M_V","M_adj"
"2","L2","Control",8,"prm_boudun","cruzó la playa con un flotador naranja","V","No Manner",1,1,0,0,0,0
"2","L2","Control",9,"trd_brocol","de nuevo bajó la montaña con una carretilla amarilla","V","No Manner",1,1,0,0,0,0
"2","L2","Control",10,"prm_boutoi","Popi subó [=subió] desde abajo al topp@sw con un flotador naranja","V+Adjunct","No Manner",1,1,1,0,0,0
"2","L2","Control",11,"pgd_valcol","Popi bajó la montaña pequeña con una maleta azul","V","No Manner",1,1,0,0,0,0
"2","L2","Control",12,"prt_rourou","Popi cruzó la calle desde la izquierda hasta la derecha con un rueda azul","V","No Manner",1,1,0,0,0,0
"2","L2","Control",13,"pgm_paqtoi","Popi subó [=subió] el tejado con un paquete lila y amarillo","V","No Manner",1,1,0,0,0,0
"2","L2","Control",14,"tgt_cherou","Popi cruzó la calle desde derecha a la izquierda con un caballo de juguete","V","No Manner",1,1,0,0,0,0
"2","L2","Control",16,"tgm_sactoi","Popi subó [=subió] el tejado con un saco blanco y grande","V","No Manner",1,1,0,0,0,0
"2","L2","Control",17,"pge_tabgro","Popi caminó con una mesa y entró una cueva","V","V",1,1,0,1,1,0
"2","L2","Control",18,"tgm_sacdun","Popi cruzó la playa con este saco","V","No Manner",1,1,0,0,0,0
"2","L2","Control",19,"tre_cadgro","Popi caminó con este maleta de compras y Popi entró una cueva","V","V",1,1,0,1,1,0
"2","L2","Control",20,"pgm_paqdun","Popi de nuevo cruzó la playa con este paquete lila y amarillo","V","No Manner",1,1,0,0,0,0
"2","L2","Control",21,"tre_cadmai","caminó desde derecha a la izquierda con un carrito de compras que era verde y entró una puerta rojo a la izquierda","V","V",1,1,0,1,1,0
"2","L2","Control",22,"pgt_panrou","Popi cruzó la calle con una canasta llena de manzanas","V","No Manner",1,1,0,0,0,0
"2","L2","Control",23,"trd_bronei","bajó de una colina de nieve con algo que se usa en el jardín","V","No Manner",1,1,0,0,0,0
"2","L2","Control",24,"pge_tabmai","Popi entró una puerta rojo [=roja] con una maleta","V","No Manner",1,1,0,0,0,0
"2","L2","Control",25,"tgd_malnei","bajó una colina de nieve con un baúl","V","No Manner",1,1,0,0,0,0
"2","L2","Control",26,"trt_pourue","Popi cruzó la calle con un coche de bebé azul","V","No Manner",1,1,0,0,0,0
"2","L2","Control",27,"tge_chagro","Popi caminó con una silla verde y entró una cueva","V","V",1,1,0,1,1,0
"2","L2","Control",28,"trm_voitoi","Popi subó [=subió] el tejado con un coche azul","V","No Manner",1,1,0,0,0,0
"2","L2","Control",29,"pre_pnemai","caminó con una rueda y entró una puerta rojo [=roja] con esto","V","V",1,1,0,1,1,0
"2","L2","Control",30,"tgt_cherue","cruzó la calle con un caballo de juguete que está verde y rojo","V","No Manner",1,1,0,0,0,0
"2","L2","Control",31,"pre_pnegro","entró una cueva con rueda","V","No Manner",1,1,0,0,0,0
"2","L2","Control",32,"pgd_valcol","Popi bajó con una maleta azul","V","No Manner",1,1,0,0,0,0
"3","L2","Path",1,"prt_rourou","está moviendo una rueda del [=al] otro lado de la calle","Adjunct","No Manner",1,0,1,0,0,0
"3","L2","Path",2,"trm_voidun","está subiendo con un carro","V","No Manner",1,1,0,0,0,0
"3","L2","Path",3,"tgt_cherou","está cruzando la calle con un caballo de juguete","V","No Manner",1,1,0,0,0,0
"3","L2","Path",4,"pgd_valnei","está bajando con una maleta","V","No Manner",1,1,0,0,0,0
"3","L2","Path",5,"tge_chagro","está entrando en una cueva una piedra abierta allí una roca abierta con una silla.","V","No Manner",1,1,0,0,0,0
"3","L2","Path",6,"prt_rourue","está cruzando la calle con una rueda","V","No Manner",1,1,0,0,0,0
"3","L2","Path",7,"pge_tabmai","está entrando en una casa con se me olvido una mesa","V","No Manner",1,1,0,0,0,0
"3","L2","Path",8,"trt_pourou","está cruzando la calle con un coche de niños","V","No Manner",1,1,0,0,0,0
"3","L2","Path",9,"pgm_paqtoi","está subiendo un paquete al techo","V","No Manner",1,1,0,0,0,0
"3","L2","Path",10,"trd_bronei","está bajando con un no sé cómo se llama carrito.","V","No Manner",1,1,0,0,0,0
"3","L2","Path",11,"prm_boudun","está subiendo con un juguete","V","No Manner",1,1,0,0,0,0
"3","L2","Path",12,"pgt_panrou","está cruzando la calle con una cantidad de manzanas","V","No Manner",1,1,0,0,0,0
"3","L2","Path",13,"pre_pnegro","está entrando en la cueva con una rueda de carro","V","No Manner",1,1,0,0,0,0
"3","L2","Path",14,"trm_voitoi","está subiendo el techo con un carro","V","No Manner",1,1,0,0,0,0
"3","L2","Path",15,"tgd_malcol","está bajando con un cajón","V","No Manner",1,1,0,0,0,0
"3","L2","Path",16,"pre_pnemai","está entrando en la casa con una rueda de carro","V","No Manner",1,1,0,0,0,0
"3","L2","Path",17,"pgd_valcol","está bajando con una maleta","V","No Manner",1,1,0,0,0,0
"3","L2","Path",18,"tgt_cherue","cruza la calle con un caballo de juguete","V","No Manner",1,1,0,0,0,0
"3","L2","Path",19,"prd_balcol","baja con una pelota","V","No Manner",1,1,0,0,0,0
"3","L2","Path",20,"pge_tabgro","entra en la roca con una mesa","V","No Manner",1,1,0,0,0,0
"3","L2","Path",21,"prd_balnei","está bajando con una pelota","V","No Manner",1,1,0,0,0,0
"3","L2","Path",22,"tge_chamai","entra en la casa con la silla verde","V","No Manner",1,1,0,0,0,0
"3","L2","Path",23,"prm_boutoi","sube el techo con un juguete","V","No Manner",1,1,0,0,0,0
"3","L2","Path",24,"trt_pourue","cruza la calle con un carro de un coche de niños","V","No Manner",1,1,0,0,0,0
"3","L2","Path",25,"tgm_sacdun","sube con un bolso","V","No Manner",1,1,0,0,0,0
"3","L2","Path",26,"tre_cadmai","entra en la casa con un carro de compras","V","No Manner",1,1,0,0,0,0
"3","L2","Path",27,"pgt_panrue","cruza la calle con las manzanas","V","No Manner",1,1,0,0,0,0
"3","L2","Path",28,"tgm_sactoi","sube el techo con un [?] bolso","V","No Manner",1,1,0,0,0,0
"3","L2","Path",29,"tre_cadgro","entra en la roca con carro de compras","V","No Manner",1,1,0,0,0,0
"3","L2","Path",30,"pgm_paqdun","está subiendo un paquete","V","No Manner",1,1,0,0,0,0
"3","L2","Path",31,"tgd_malnei","baja una caja","V","No Manner",1,1,0,0,0,0
"3","L2","Path",32,"pge_tabgro","entra una mesa en la piedra abierta","V","No Manner",1,1,0,0,0,0
"4","L2","Control",1,"prd_balcol","Popi <ha movado> [=ha movido] la pelota inflable desde derecha hasta la izquierda","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",2,"tgm_sactoi","Popi ha traído <la saca> [=el saco] de algo para arriba de la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",3,"pgt_panrue","Popi <ha movado> [=ha movido] el cesto de las manzanas desde derecha hasta izquierda en la pantalla","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",4,"tgd_malcol","Popi ha bajado la caja de arriba del camino hasta abajo","V+Adjunct","No Manner",1,1,1,0,0,0
"4","L2","Control",5,"trm_voitoi","Popi ha traído el coche para el tejado de la casa","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",6,"pge_tabmai","Popi ha traído la mesa dentro la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",7,"tgd_malnei","Popi ha traído una cosa desde derecha hasta izquierda","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",8,"prm_boutoi","Popi <ha movado> [=ha movido] el círculo hasta arriba de la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",9,"tge_chamai","Popi ha traído la silla dentro de la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",10,"prd_balnei","Popi <ha movado> [=ha movido] la pelota desde izquierda hasta derecha","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",11,"pgm_paqdun","Popi <ha movado> [=ha movido] el paquete de regalo para el parte más arriba de la arena","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",12,"tgt_cherou","Popi ha traído el caballo de juguete sobre el camino para el otro lado","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",13,"pre_pnemai","Popi ha traído la rueda dentro la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",14,"tgm_sacdun","Popi ha traído el saco sobre la arena","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",15,"pgd_valcol","Popi <ha movado> [=ha movido] la bolsa","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",16,"trt_pourue","Popi <ha movado> [=ha movido] la cajón del bebé desde izquierda hasta derecha","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",17,"pre_pnegro","Popi <ha movado> [=ha movido] la rueda dentro de la cuevo","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",18,"trd_bronei","el Popi <ha movado> [=ha movido] una cosa bajo [abajo] del hielo","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",19,"pgt_panrou","Popi <ha movado> [=ha movido] el cesto de las manzanas sobre el camino","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",20,"prm_boudun","Popi <ha movado> [=ha movido] el círculo inflable sobre la arena","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",21,"pge_tabgro","Popi ha traído una mesa dentro del cuevo","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",22,"trm_voidun","Popi ha traído un coche de juguete sobre la arena","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",23,"tgt_cherue","Popi ha traído el caballo de juguete sobre el camino","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",24,"tre_cadmai","Popi ha traído la caja de compras dentro la casa","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",25,"prt_rourou","Popi ha traído la rueda sobre el camino","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",26,"pgd_valnei","Popi ha bajado la maleta bajo [abajo] de la nieve","V+Adjunct","No Manner",1,1,1,0,0,0
"4","L2","Control",27,"tre_cadgro","Popi ha traído la maleta de compras dentro del cuevo","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",28,"pgm_paqtoi","Popi ha traído el regalo sobre la casa","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",29,"trt_pourou","Popi ha traído el cajón de bebé sobre el camino","No Path","No Manner",0,0,0,0,0,0
"4","L2","Control",30,"tge_chagro","Popi ha traído una mesa dentro del cuevo","Adjunct","No Manner",1,0,1,0,0,0
"4","L2","Control",31,"trd_brocol","Popi ha bajado una cosa de la césped","V","No Manner",1,1,0,0,0,0
"4","L2","Control",32,"pge_tabgro","Popi ha traído una mesa dentro del cuevo","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",1,"trm_voidun","está llevando su coche que es un juguete","No Path","No Manner",0,0,0,0,0,0
"5","L2","Manner",2,"pgd_valnei","el hombre empuja una maleta bajo [abajo] una colina","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",3,"trt_pourue","el hombre lleva esta cosa que es una herramienta para poner los bebés","No Path","No Manner",0,0,0,0,0,0
"5","L2","Manner",4,"tgd_malnei","el hombre lleva esta cosa bajo [abajo] una colina","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",5,"tre_cadmai","el hombre lleva esta herramienta para dentro de una casa","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",6,"tgt_cherue","el chico lleva este juguete al otro lado de la calle","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",7,"trm_voitoi","el chico sube con su coche juguete encima de una casa","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",8,"tgt_cherou","el chico lleva su juguete que es como un caballo al otro lado del camino","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",9,"prd_balcol","el chico empuja su pelota de plástico bajo [abajo] una colina","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",10,"tre_cadgro","el chico va con su maleta con ruedas hacia una cueva también entra en la cueva","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",11,"prm_boutoi","el chico sube la casa con una rueda de plástico que se usa para bañar en la playa","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",12,"pgt_panrue","empuja esta cosa [llena de manzanas] al otro lado del camino","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",13,"pre_pnemai","el chico empuja una rueda dentro de una granja","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",14,"pgt_panrou","el chico empuja la cosa llena de manzanas al otro lado del camino","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",15,"tgm_sactoi","el chico lleva una bolsa y sube una casa","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",16,"pgd_valcol","el hombre baja una colina con una maleta","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",17,"tge_chagro","el chico lleva una silla verde de plástico hacia una cueva y también entra en la cueva","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",18,"prt_rourou","el chico empuja la rueda vieja al otro lado del camino","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",19,"tge_chamai","el chico lleva la silla verde de plástico a una casa o una granja y entra","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",20,"prm_boudun","el chico empuja el juguete de plástico encima de una colina","No Path","V",0,0,0,1,1,0
"5","L2","Manner",21,"trt_pourou","el chico lleva el carro de bebés al otro lado del camino","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",22,"pre_pnegro","el chico empuja la rueda y también entra en una cueva","V","V",1,1,0,1,1,0
"5","L2","Manner",23,"pgm_paqtoi","el chico empuja un paquete encima de una casa","No Path","V",0,0,0,1,1,0
"5","L2","Manner",24,"prd_balnei","el chico empuja una pelota de plástico bajo [abajo] de una colina","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",25,"tgm_sacdun","el chico lleva su bolso blanco encima de una colina","No Path","No Manner",0,0,0,0,0,0
"5","L2","Manner",26,"pge_tabgro","el hombre empuja la silla vieja dentro de una cueva","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",27,"trd_brocol","el hombre lleva su carro y baja una colina","V","No Manner",1,1,0,0,0,0
"5","L2","Manner",28,"pge_tabmai","el hombre empuja su mesa vieja a una granja y entra","V","V",1,1,0,1,1,0
"5","L2","Manner",29,"tgd_malcol","el hombre lleva su caja bajo [abajo] una colina","Adjunct","No Manner",1,0,1,0,0,0
"5","L2","Manner",30,"prt_rourue","el hombre empuja su rueda vieja al otro lado de la calle","Adjunct","V",1,0,1,1,1,0
"5","L2","Manner",31,"pgm_paqdun","el hombre empuja su paquete por una colina","No Path","V",0,0,0,1,1,0
"5","L2","Manner",32,"tgd_malnei","el chico lleva la caja y baja una colina","V","No Manner",1,1,0,0,0,0
"6","L2","Path",1,"tre_cadmai","Popi entra en el establo con un carrito de compras","V","No Manner",1,1,0,0,0,0
"6","L2","Path",2,"tgd_malnei","Popi baja una montaña nevada con un cajón","V","No Manner",1,1,0,0,0,0
"6","L2","Path",3,"prm_boutoi","Popi sube un techo con una rueda inflada","V","No Manner",1,1,0,0,0,0
"6","L2","Path",4,"trt_pourue","Popi cruza la calle con un carrito de bebé","V","No Manner",1,1,0,0,0,0
"6","L2","Path",5,"pge_tabgro","Popi va empujando una mesa a la cueva","No Path","Adjunct",0,0,0,1,0,1
"6","L2","Path",6,"tgt_cherou","Popi cruza la calle o el camino con un caballo de juguete","V","No Manner",1,1,0,0,0,0
"6","L2","Path",7,"trm_voitoi","Popi sube el techo con un coche pequeño","V","No Manner",1,1,0,0,0,0
"6","L2","Path",8,"pgt_panrou","Popi cruza la calle con una cesta de manzanas","V","No Manner",1,1,0,0,0,0
"6","L2","Path",9,"trm_voidun","Popi sube una duna con un coche de juguete","V","No Manner",1,1,0,0,0,0
"6","L2","Path",10,"pge_tabmai","Popi entra en el establo con una mesa de madera","V","No Manner",1,1,0,0,0,0
"6","L2","Path",11,"trd_bronei","Popi baja una montaña nevada con un carrito con rueda","V","No Manner",1,1,0,0,0,0
"6","L2","Path",12,"pgm_paqdun","Popi sube una duna de arena con un regalo","V","No Manner",1,1,0,0,0,0
"6","L2","Path",13,"tre_cadgro","Popi entra en la cueva con un carrito de compras","V","No Manner",1,1,0,0,0,0
"6","L2","Path",14,"prt_rourou","Popi cruza la calle con una rueda grande","V","No Manner",1,1,0,0,0,0
"6","L2","Path",15,"tgm_sactoi","Popi sube por el techo con un saco blanco","V","No Manner",1,1,0,0,0,0
"6","L2","Path",16,"prd_balnei","Popi baja de una montaña nevada con una pelota de plástico","V","No Manner",1,1,0,0,0,0
"6","L2","Path",17,"tge_chagro","Popi entra en la cueva con una silla de plástico","V","No Manner",1,1,0,0,0,0
"6","L2","Path",18,"trd_brocol","Popi baja una cuesta con un barril","V","No Manner",1,1,0,0,0,0
"6","L2","Path",19,"pre_pnemai","Popi entra en el establo con una rueda grande","V","No Manner",1,1,0,0,0,0
"6","L2","Path",20,"pgt_panrue","Popi cruza la calle con una cesta de manzanas","V","No Manner",1,1,0,0,0,0
"6","L2","Path",21,"prd_balcol","Popi baja una cuesta con una pelota de plástico","V","No Manner",1,1,0,0,0,0
"6","L2","Path",22,"tge_chamai","Popi entra en un establo con una silla verde","V","No Manner",1,1,0,0,0,0
"6","L2","Path",23,"prt_rourue","Popi cruza una calle con una rueda grande","V","No Manner",1,1,0,0,0,0
"6","L2","Path",24,"pgm_paqtoi","Popi sube por un techo con un regalo","V","No Manner",1,1,0,0,0,0
"6","L2","Path",25,"tgd_malcol","Popi baja una cuesta con una caja negra","V","No Manner",1,1,0,0,0,0
"6","L2","Path",26,"pre_pnegro","Popi entra en la cueva con una rueda","V","No Manner",1,1,0,0,0,0
"6","L2","Path",27,"tgm_sacdun","Popi sube una duna con un saco","V","No Manner",1,1,0,0,0,0
"6","L2","Path",28,"pgd_valcol","Popi baja una cuesta con una maleta verde","V","No Manner",1,1,0,0,0,0
"6","L2","Path",29,"trt_pourou","Popi cruza una calle con un carrito de bebé","V","No Manner",1,1,0,0,0,0
"6","L2","Path",30,"pgd_valnei","Popi baja una montaña nevada con una maleta verde","V","No Manner",1,1,0,0,0,0
"6","L2","Path",31,"tgt_cherue","Popi cruza una calle con un caballo de madera","V","No Manner",1,1,0,0,0,0
"6","L2","Path",32,"pre_pnegro","Popi entra en una cueva con una rueda grande","V","No Manner",1,1,0,0,0,0
"7","L2","Control",1,"prt_rourue","Popi tiene una rueda y rueda la rueda por la calle","No Path","V",0,0,0,1,1,0
"7","L2","Control",2,"pge_tabmai","Popi ha movido una mesa dentro en la casa","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",3,"tgm_sactoi","Popi ha traído una bolsa por el cielo","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",4,"trd_bronei","Popi ha traído una cosa","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",5,"prm_boutoi","Popi tiene un juguete para niños por el cielo de la casa","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",6,"tgt_cherue","Popi ha una juego de caballo","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",7,"pre_pnegro","Popi ha una rueda y poner [=pone] la rueda dentro la cueva","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",8,"tgd_malnei","Popi ha una cesta muy fuerte y trae por la dunas de nieve","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",9,"trm_voidun","Popi ha traído un coche de juego por las dunas en la playa","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",10,"pre_pnemai","Popi poner [=pone] la rueda dentro en la campo","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",11,"pgd_valnei","Popi ha empujado la maleta por las dunas de nieve","No Path","V",0,0,0,1,1,0
"7","L2","Control",12,"prt_rourou","Popi ha empujado la rueda por la carretera","No Path","V",0,0,0,1,1,0
"7","L2","Control",13,"tgm_sacdun","Popi ha traído el saco por las dunas","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",14,"trt_pourou","Popi ha traído el carrito de bebés por la carretera","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",15,"pgm_paqdun","Popi ha empujado el paquete de regalo por las dunas","No Path","V",0,0,0,1,1,0
"7","L2","Control",16,"tgt_cherou","Popi ha traído el caballo de juguete por la carretera","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",17,"pge_tabgro","Popi ha empujado la mesa dentro la cueva","Adjunct","V",1,0,1,1,1,0
"7","L2","Control",18,"trt_pourue","Popi ha traído el carrito de niño por la calle","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",19,"prm_boudun","Popi ha traído la juguete a la playa por las dunas","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",20,"tge_chagro","Popi ha traído la silla dentro la cueva","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",21,"pgt_panrou","Popi ha una cesta lleno de manzanas","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",22,"tge_chamai","Popi ha tomado la silla dentro el campo","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",23,"pgt_panrue","Popi ha empujado una cesta llena de manzanas por la calle","No Path","V",0,0,0,1,1,0
"7","L2","Control",24,"tgd_malcol","Popi ha traído la ","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",25,"trm_voitoi","Popi ha traído el coche de juguete por el cielo","No Path","No Manner",0,0,0,0,0,0
"7","L2","Control",26,"prd_balnei","Popi ha empujado la pelota por las dunas de nieve","No Path","V",0,0,0,1,1,0
"7","L2","Control",27,"tre_cadmai","Popi ha traído el carri(to) de compra dentro la casa de campo","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",28,"pgm_paqtoi","Popi ha empujado el parcel por el cielo","No Path","V",0,0,0,1,1,0
"7","L2","Control",29,"prd_balcol","Popi ha empujado la pelota por la césped","No Path","V",0,0,0,1,1,0
"7","L2","Control",30,"tre_cadgro","Popi ha traído la carri de compra dentro la cueva","Adjunct","No Manner",1,0,1,0,0,0
"7","L2","Control",31,"pgd_valcol","Popi ha empujado la maleta por el césped","No Path","V",0,0,0,1,1,0
"7","L2","Control",32,"pre_pnegro","Popi ha empujado la rueda dentro la cueva","Adjunct","V",1,0,1,1,1,0
"8","L2","Manner",1,"prm_boudun","Popi empuja un flotador","No Path","V",0,0,0,1,1,0
"8","L2","Manner",2,"pgt_panrue","Popi empuja una cesta con manzanas sobre una carretera","No Path","V",0,0,0,1,1,0
"8","L2","Manner",3,"pre_pnemai","Popi empuja una rueda dentro de una granja","Adjunct","V",1,0,1,1,1,0
"8","L2","Manner",4,"pgt_panrou","Popi empuja una cesta de manzanas sobre un río","No Path","V",0,0,0,1,1,0
"8","L2","Manner",5,"prd_balcol","Popi baja una pelota abajo de una cuesta","V+Adjunct","No Manner",1,1,1,0,0,0
"8","L2","Manner",6,"trt_pourue","Popi tira el coche de bebé sobre el camino","No Path","V",0,0,0,1,1,0
"8","L2","Manner",7,"pge_tabgro","Popi empuja la mesa dentro de la cueva","Adjunct","V",1,0,1,1,1,0
"8","L2","Manner",8,"trt_pourou","Popi tira el coche de bebé al lado del río","No Path","V",0,0,0,1,1,0
"8","L2","Manner",9,"tgm_sactoi","Popi tira un saco sobre una cuesta","No Path","V",0,0,0,1,1,0
