"Subject","Condition","MannerTransl_1","MannerTransl_2","MannerTransl_3","MannerTransl_4","PathTransl_1","PathTransl_2","PathTransl_3","PathTransl_4"
32,"PathPrime","","","","","Labradoren bestiger...med en vagn","Den gamla kvinnan går igenom ett rum ett rum med en matta","går in på ett gym med ett","Mannen går ned för en ramp med en soffa."
33,"Control","Laberskan drar en vagn genom en ______? ","drar en matta genom salen","Ynglingen rullar en vikt? genom ett gym","Mannen knuffar en soffa för en ramp","Laberskan går över en _____ med en vagn","Ancianen korsar en sal med en matta","Ynglingen går in i ett gym med en vikt","Mannen går under en ramp med en soffa"
34,"MannerPrime","En kvinna drar en vagn över en väg","En äldre kvinna drar en matta till en sal","En ungdom rullar ett hjul på gymnastiken","En man puttar en soffa i en ramp","","","",""
35,"MannerPrime","Arbeterskan drar en vagn över en kulle","Den gamla kvinnan släpar en matta genom ett stort rum","Den unga kvinnan rullar en ring genom en gymnastiksal","Mannen skjuter en soffa på en ramp","","","",""
36,"Control","Arbetaren drar i en vagn över en backe.","Den gamla kvinnan lägger ut en matta i salen.","Den unga tjejen rullar runt en ring i gymet","Mannen knuffar upp en soffa för en ramp","Arbetaren går upp för backen med en vagn","Den gamla kvinnan korsar salen med en matta","Den unga tjejen går in i gymet med en ring","Mannen går ned för en ramp med en soffa"
37,"Control","Labradoren (labradorhonan) drar en vagn uppför en kulle.","Den gamla kvinnan brer ut (skakar?) en matta i salen.","Den unga personen rullar en rockring (?) genom en gympasal/ett gym","Mannen puttar en soffa uppför rampen","Labradoren (labradorhonan) går upp för en kulle med en vagn","Den gamla kvinnan korsar en sal med (som har) en matta.","Den unga personen går in i ett gym/en gympasal med en rockring (?)","Mannen puttar en soffa uppför rampen."
38,"PathPrime","","","","","Labradoren åker uppför kullen i en bil.","Den gamla korsar en sal med en matta.","Den unga tjejen går in på ett gym med en...","Mannen går ner för en ramp med en soffa"
39,"MannerPrime","Labradortiken kastar sig ut framför en bil för en boll","Den äldre kvinnan håller i en matta i ett vardagsrum","Tonåringen snurrar en ring i gymet.","Mannen knuffar en soffa i en ramp.","","","",""
40,"MannerPrime","Labradorhonan drar upp en vagn på en kulle.","Den gamla kvinnan drar en matta över en sal","Den unga kvinnan hjular över gymnastiksalen","Mannen knuffar en soffa på en ramp","","","",""
41,"PathPrime","","","","","Arbetarkvinnan tar sig upp för en backe med en bil.","Den gamla damen går igenom en sal med en matta.","Den unga tjejen går in på ett gym med en ring.","Mannen går ned för en ramp med en soffa."
42,"PathPrime","","","","","Bondkvinnan går uppför en backe med en kärra","Den gamla kvinnan går genom rummet med en matta","Den unga kvinnan kommer in i gymnastiksalen med en ring","Mannen går nerför en ramp med en soffa"
43,"Control","Arbeterskan drar en vagn över en kulle","Den gamla damen drar en matta genom en sal","Den unga tjejen rullar en ring genom ett gym","Mannen skjuter en soffa på en ramp","Arbeterskan går upp på en kulle med en vagn ","Den gamla damen korsar en sal med en matta","Den unga tjejen går in i gymmet med en ring","Mannen går ner för en ramp med en soffa"
44,"Control","Arbeterskan drar en vagn utefter en bergssluttning","Den gamla kvinnan drar en matta genom ett rum","Den unga kvinnan snurrar en ring genom ett gym","En man puttar en soffa upp för en ramp","Arbeterskan tar sig uppför en bergsslutning med en kärra.","Den gamla kvinnan går igenom rummet med en matta ","Den unga kvinnan stiger in i gymet med en ring","Mannen går nedför rampen med en soffa."
45,"MannerPrime","Labradortiken drar i en vagn i ett koppel.","Den gamla damen släpar en matta genom ett vardagsrum.","Den unga flickan rullar en ring genom en gymnastiksal.","Mannen knuffar en soffa över en ramp.","","","",""
46,"PathPrime","","","","","? gick uppför en sluttning? med en vagn","Den äldre damen korsade rummet med en matta","Ynglingen kom in i gymmet med en ?","Mannen gick nerför rampen med en soffa"
47,"MannerPrime","Arbeterskan drar en vagn nerför en kulle.","Den gamla kvinnan lägger ut en matta i en sal.","Ungdomen springer ett varv runt gymmet.","Mannen puttar en soffa uppför en ramp.","","","",""
48,"Control","Labradoren kastar ut en bil för en...","Den äldre kvinnan drar en matta genom ett rum.","Den unga kvinnan cirkulerar en pil genom ett gym.","Mannen knuffar en soffa upp för en ramp.","Labradoren höjer en...med en bil.","Den äldre kvinnan går in i ett gym med en pil.","Mannen tar ned en ramp med en soffa.",""
49,"MannerPrime","Labradoren kastar sig från en bil.","Den gamla kvinnan släpar en matta i ett rum","Den unga tjejen stör strömningen på ett gym","Mannen puttar en soffa upp för en ramp","","","",""
50,"Control","Labradoren dras från en kärra med ett rep.","Den gamla damen drar en matta genom ett sal.","Ungdomen rullar en ring runt gymmet.","Mannen knuffar en soffa uppför en ramp.","Labradoren går uppför repet med en kärra.","Den gamla damen går genom en sal med en matta.","Ungdomen går in på gymmet med en ring.","Mannen går ner för en ramp med en soffa"
51,"PathPrime","","","","","Labradoren går uppför en bersluttning med en vagn","Den gamla damen går genom ett rum med en matta","Den unga flickan går in i en gymnastiksal med en ring","Mannen går nerför en ramp med en soffa"
52,"MannerPrime","Forskaren kastade","Den gamla damen drog en kista genom salen","Tjejen rullade en båge genom gymet/gymnasiet","Killen tryckte/sköt en sofa på en ramp","","","",""
53,"PathPrime","","","","","Labradoren går upp för en kulle med en kärra","Den äldre damen går igenom en sal med en matta","Den unga tjejen går in på ett gym med en båge","Mannen går nerför en ramp med en soffa"
54,"Control","Den kvinnliga arbetaren kastar från en vagn uppför en kulle","Den gamla kvinnan tar bort en matta fråm en sal (ett rum).","","Den unga kvinnan rullar en ring genom ett gymnastiksal.","Mannen knuffar en soffa uppför en ramp.","Den kvinnliga arbetaren kör uppför en kulle med en vagn.","Den gamla kvinnan går tvärs över ett rum (en sal)  med en matta.","Den unga kvinnan går in i en gymnastiksal med en ring."
55,"MannerPrime","...drar en vagn...","Den gamla damen släpar en matta till en sal","Den unga flickan rullar en...till ett gym","mannen skjuter en soffa på en ramp","","","",""
56,"Control","Arbetaren drar en vagn åt en xx ","Den äldre kvinnan tar en matta från en sal","Den unga kvinnan levererar xx till ett gym","Mannen puttar en soffa nedför en ramp","Arbetaren tar upp en xx med en vagn","Den äldre kvinnan går igenom salen med en matta","Den unga tjejen går in på gymet med en xx","Mannen går nedför rampen med en soffa"
57,"PathPrime","","","","","Labradoren bestiger en kulle med en vagn.","Den gamla damen går genom ett rum med en kudde.","Den unga flickan går in i ett gym med en mullvad.","mannen går nedför en ramp med en soffa."
58,"MannerPrime","Arbetaren drar på en kärran på en stig","Den gamla släpar en matta i en sal","Den unga rullar en rulle i ett gym","Mannen puttar en soffa på en ramp","","","",""
59,"Control","Labradoren drar en vagn uppför en backe","släpar en matta genom en sal","Den unga kvinnan rullar en ring i en gymnastikhall","Mannen knuffar en soffa upp för en ramp","Labradoren går uppför en backe med en vagn ","Den gamla kvinnan går igenom ett rum med en matta","Den unga kvinnan går in i en gymnastiksal med en ring","Mannen går ner för en ramp med en soffa"
60,"MannerPrime","Lantarbeterskan drar en kärra uppför en backe","Den gamla släpar en matta genom rummet.","Flickan rullar ett rullband genom gymnastiksalen.","Mannen skjuter en soffa uppför/nedför en ramp","","","",""
