"Subject","Group","Condition","VideoTrial","VideoName","Match","VocabEntry","Baseform","SemComp","Meaning","SyntCateg","SyntForm"
"4","L2","Control",8,"prm_boutoi","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",8,"prm_boutoi","hasta arriba","PREP-arriba_PP","PREP-arriba","Path","UP","Adjunct","PP"
"4","L2","Control",9,"tge_chamai","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",9,"tge_chamai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",10,"prd_balnei","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",11,"pgm_paqdun","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",11,"pgm_paqdun","para el parte más arriba de la arena","PREP-la-parte-de-arriba_PP","PREP-la-parte-de-arriba","Path","UP","Adjunct","PP"
"4","L2","Control",12,"tgt_cherou","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",12,"tgt_cherou","para el otro lado","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"4","L2","Control",13,"pre_pnemai","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",13,"pre_pnemai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",14,"tgm_sacdun","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",15,"pgd_valcol","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",16,"trt_pourue","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",17,"pre_pnegro","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",17,"pre_pnegro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",18,"trd_bronei","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",18,"trd_bronei","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"4","L2","Control",19,"pgt_panrou","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",20,"prm_boudun","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"4","L2","Control",21,"pge_tabgro","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",21,"pge_tabgro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",22,"trm_voidun","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",23,"tgt_cherue","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",24,"tre_cadmai","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",24,"tre_cadmai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",25,"prt_rourou","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",26,"pgd_valnei","ha bajado","bajar_V","bajar","Path","DOWN","V","V_fin"
"4","L2","Control",26,"pgd_valnei","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"4","L2","Control",27,"tre_cadgro","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",27,"tre_cadgro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",28,"pgm_paqtoi","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",29,"trt_pourou","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",30,"tge_chagro","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",30,"tge_chagro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"4","L2","Control",31,"trd_brocol","ha bajado","bajar_V","bajar","Path","DOWN","V","V_fin"
"4","L2","Control",32,"pge_tabgro","traído","traer_V","traer","Other","BRING","V","V_fin"
"4","L2","Control",32,"pge_tabgro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"5","L2","Manner",1,"trm_voidun","está llevando","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",2,"pgd_valnei","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",2,"pgd_valnei","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"5","L2","Manner",3,"trt_pourue","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",4,"tgd_malnei","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",4,"tgd_malnei","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"5","L2","Manner",5,"tre_cadmai","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",5,"tre_cadmai","para dentro","PREP-(a)dentro_PP","hacia-dentro-de-GROUND","Path","INTO","Adjunct","PP"
"5","L2","Manner",6,"tgt_cherue","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",6,"tgt_cherue","al otro lado de la calle","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",7,"trm_voitoi","sube","subir_V","subir","Path","UP","V","V_fin"
"5","L2","Manner",7,"trm_voitoi","encima","encima_PP","encima","?Path","?UP","Adjunct","PP"
"5","L2","Manner",8,"tgt_cherou","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",8,"tgt_cherou","al otro lado del camino","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",9,"prd_balcol","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",9,"prd_balcol","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"5","L2","Manner",10,"tre_cadgro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"5","L2","Manner",10,"tre_cadgro","va","ir_V","ir","Other","GO","V","V_fin"
"5","L2","Manner",10,"tre_cadgro","hacia una cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"5","L2","Manner",11,"prm_boutoi","sube","subir_V","subir","Path","UP","V","V_fin"
"5","L2","Manner",12,"pgt_panrue","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",12,"pgt_panrue","al otro lado del camino","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",13,"pre_pnemai","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",13,"pre_pnemai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"5","L2","Manner",14,"pgt_panrou","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",14,"pgt_panrou","al otro lado del camino","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",15,"tgm_sactoi","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",15,"tgm_sactoi","sube","subir_V","subir","Path","UP","V","V_fin"
"5","L2","Manner",16,"pgd_valcol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"5","L2","Manner",17,"tge_chagro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"5","L2","Manner",17,"tge_chagro","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",17,"tge_chagro","hacia una cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"5","L2","Manner",18,"prt_rourou","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",18,"prt_rourou","al otro lado del camino","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",19,"tge_chamai","entra","entrar_V","entrar","Path","INTO","V","V_fin"
"5","L2","Manner",19,"tge_chamai","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",19,"tge_chamai","a una casa","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"5","L2","Manner",20,"prm_boudun","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",20,"prm_boudun","encima","encima_PP","encima","?Path","?UP","Adjunct","PP"
"5","L2","Manner",21,"trt_pourou","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",21,"trt_pourou","al otro lado del camino","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",22,"pre_pnegro","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",22,"pre_pnegro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"5","L2","Manner",23,"pgm_paqtoi","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",23,"pgm_paqtoi","encima","encima_PP","encima","?Path","?UP","Adjunct","PP"
"5","L2","Manner",24,"prd_balnei","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",24,"prd_balnei","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"5","L2","Manner",25,"tgm_sacdun","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",25,"tgm_sacdun","encima","encima_PP","encima","?Path","?UP","Adjunct","PP"
"5","L2","Manner",26,"pge_tabgro","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",26,"pge_tabgro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"5","L2","Manner",27,"trd_brocol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"5","L2","Manner",27,"trd_brocol","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",28,"pge_tabmai","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",28,"pge_tabmai","entra","entrar_V","entrar","Path","INTO","V","V_fin"
"5","L2","Manner",29,"tgd_malcol","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"5","L2","Manner",29,"tgd_malcol","abajo","abajo_AdvP","abajo","Path","DOWN","Adjunct","AdvP"
"5","L2","Manner",30,"prt_rourue","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",30,"prt_rourue","al otro lado de la calle","PREP-otro-lado_PP","PREP-otro-lado","Path","ACROSS","Adjunct","PP"
"5","L2","Manner",31,"pgm_paqdun","empuja","empujar_V","empujar","Manner","PUSH","V","V_fin"
"5","L2","Manner",32,"tgd_malnei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"5","L2","Manner",32,"tgd_malnei","lleva","llevar_V","llevar","Other","BRING","V","V_fin"
"6","L2","Path",1,"tre_cadmai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",2,"tgd_malnei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",3,"prm_boutoi","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",4,"trt_pourue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",5,"pge_tabgro","va","ir_V","ir","Other","GO","V","V_fin"
"6","L2","Path",5,"pge_tabgro","a la cueva","a/hacia/hasta-BOUNDARY_PP","a/hacia/hasta-BOUNDARY","?Path","?INTO","Adjunct","PP"
"6","L2","Path",5,"pge_tabgro","empujando","empujando_Ger","empujar","Manner","PUSH","Adjunct","V_ger"
"6","L2","Path",6,"tgt_cherou","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",7,"trm_voitoi","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",8,"pgt_panrou","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",9,"trm_voidun","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",10,"pge_tabmai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",11,"trd_bronei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",12,"pgm_paqdun","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",13,"tre_cadgro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",14,"prt_rourou","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",15,"tgm_sactoi","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",16,"prd_balnei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",17,"tge_chagro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",18,"trd_brocol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",19,"pre_pnemai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",20,"pgt_panrue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",21,"prd_balcol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",22,"tge_chamai","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",23,"prt_rourue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",24,"pgm_paqtoi","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",25,"tgd_malcol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",26,"pre_pnegro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"6","L2","Path",27,"tgm_sacdun","sube","subir_V","subir","Path","UP","V","V_fin"
"6","L2","Path",28,"pgd_valcol","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",29,"trt_pourou","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",30,"pgd_valnei","baja","bajar_V","bajar","Path","DOWN","V","V_fin"
"6","L2","Path",31,"tgt_cherue","cruza","cruzar_V","cruzar","Path","ACROSS","V","V_fin"
"6","L2","Path",32,"pre_pnegro","entra en","entrar_V","entrar","Path","INTO","V","V_fin"
"7","L2","Control",1,"prt_rourue","rueda","rodar_V","rodar","Manner","ROLL","V","V_fin"
"7","L2","Control",2,"pge_tabmai","ha movido","mover_V","mover","Other","MOVE","V","V_fin"
"7","L2","Control",2,"pge_tabmai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"7","L2","Control",3,"tgm_sactoi","traído","traer_V","traer","Other","BRING","V","V_fin"
"7","L2","Control",4,"trd_bronei","traído","traer_V","traer","Other","BRING","V","V_fin"
"7","L2","Control",7,"pre_pnegro","pone","poner_V","poner","Other","PUT","V","V_fin"
"7","L2","Control",7,"pre_pnegro","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
"7","L2","Control",8,"tgd_malnei","trae","traer_V","traer","Other","BRING","V","V_fin"
"7","L2","Control",9,"trm_voidun","traído","traer_V","traer","Other","BRING","V","V_fin"
"7","L2","Control",10,"pre_pnemai","pone","poner_V","poner","Other","PUT","V","V_fin"
"7","L2","Control",10,"pre_pnemai","dentro","(a)dentro_AdvP","adentro","Path","INTO","Adjunct","AdvP"
